Year;Month;1988 = 100;1996 = 100
2005;augustus;146,09;119,03
2005;juli;145,95;118,92
2005;juni;145,08;118,21
2005;mei;144,64;117,85
2005;april;144,43;117,68
2005;maart;144,1;117,41
2005;februari;143,18;116,66
2005;januari;142,22;115,88
2004;december;141,83;115,56
2004;november;142,29;115,94
2004;oktober;142,46;116,08
2004;september;141,78;115,52
2004;augustus;141,68;115,44
2004;juli;141,51;115,3
2004;juni;141,03;114,91
2004;mei;141,09;114,96
2004;april;140,55;114,52
2004;maart;133,8;113,91
2004;februari;139,58;113,74
2004;januari;139,08;113,32
2003;december;138,67;112,99
2003;november;138,76;113,06
2003;oktober;138,5;112,85
2003;september;138,95;113,22
2003;augustus;138,55;112,89
2003;juli;138,18;112,59
2003;juni;137,91;112,37
2003;mei;137,51;112,04
2003;april;137,9;112,36
2003;maart;138,24;112,64
2003;februari;137,85;112,32
2003;januari;136,91;111,55
2002;december;136,3;111,06
2002;november;136,23;111
2002;oktober;136,34;111,09
2002;september;136,5;111,22
2002;augustus;136,12;110,91
2002;juli;136,16;110,94
2002;juni;135,71;110,58
2002;mei;136,1;110,89
2002;april;135,89;110,72
2002;maart;135,85;110,69
2002;februari;135,49;110,4
2002;januari;135,27;110,22
2001;december;134,46;109,56
2001;november;134,75;109,79
2001;oktober;134,6;109,67
2001;september;134,81;109,84
2001;augustus;134,43;109,53
2001;juli;134,44;109,54
2001;juni;134,54;109,62
2001;mei;134,3;109,43
2001;april;133,47;108,75
2001;maart;132,32;107,81
2001;februari;132,02;107,57
2001;januari;131,46;107,11
2000;december;131,59;107,22
2000;november;131,93;107,5
2000;oktober;131,51;107,15
2000;september;131,82;107,41
2000;augustus;130,93;106,68
2000;juli;130,97;106,71
2000;juni;130,71;106,5
2000;mei;130,22;106,1
2000;april;129,85;105,8
2000;maart;129,6;105,6
2000;februari;129,11;105,2
2000;januari;128,62;104,8
1999;december;128,39;104,61
1999;november;127,97;104,27
1999;oktober;127,71;104,06
1999;september;127,54;103,92
1999;augustus;127,26;103,69
1999;juli;127,41;103,81
1999;juni;127,21;103,65
1999;mei;127,47;103,86
1999;april;127,25;103,68
1999;maart;126,74;103,27
1999;februari;126,65;103,19
1999;januari;126,36;102,96
